[      72ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=8b30a122:14337
[    6400ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/routes:0
[    6401ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[    6425ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/stations:0
[    6426ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[    6439ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/dashboard/kpis:0
[    6439ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[    7250ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[    7251ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[    8889ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[    8889ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[    8891ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[    8891ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[    9714ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[    9714ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   11505ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   11505ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   12979ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=8b30a122:14337
[   13013ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/dashboard/kpis:0
[   13013ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13013ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   13013ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13013ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/routes:0
[   13013ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13014ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/stations:0
[   13014ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13021ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   13021ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13881ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   13882ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13893ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/dashboard/kpis:0
[   13893ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13905ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/stations:0
[   13906ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13949ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/routes:0
[   13949ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   13986ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
